sku,nombre,imagen_local,supabase_url
"070896325723","MOLDE SILICON TEXTURA MADERA Y PIEDRA","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/070896325723.jpg",""
"M2105-8328","JGO MINI MOLDE SIL COPO DE NIEVE 6 PZ","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/M2105-8328.jpg",""
"5-5433","JGO MOLDE SILICON TRONCO 3 PZ","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/5-5433.jpg",""
"4-2160","MOLDE SILI CORONA PRINCESA 18X10 CM","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/4-2160.jpg",""
"SIL001210","MOLDE SILI PANQUE 23x10x6cm","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/SIL001210.jpg",""
"DTEM367","MOLDE DE SILICON MAGNUM MINI 8 CAVIDADES CHERRY","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/DTEM367.jpg",""
"DTEM457","MOLDE DE SILICON MEDIA ESFERA 15 CAVIDAD 4 CM CHERRY","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/DTEM457.jpg",""
"MSC1428","LOVE 14X6CMC CHERRY","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/MSC1428.jpg",""
"MSC1285","SEXY VARIOS CHERRY","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/MSC1285.jpg",""
"666661683197","MOLDE SIL PINGÜINO 8CAV","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/666661683197.jpg",""
"666661680873","MOLDE SILICON MEDIA ESFERA 6 CAV","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/666661680873.jpg",""
"666661686200","CAPACILLO SILICON 12PZ","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/666661686200.jpg",""
"666661681872","MOLDE SIL REGALO 15CAV","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/666661681872.jpg",""
"666661682431","MOLDE NAVID ARBOL JENGIBRE 6CAV","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/666661682431.jpg",""
"666661682430","MOLDE SIL RENO TRINEO 6CAV","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/666661682430.jpg",""
"666661683154","MOLDE SIL BOTA CAMPANA 6CAV","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/666661683154.jpg",""
"666661683152","MOLDE NAV ARBOL COPO","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/666661683152.jpg",""
"666661682432","MOLDE NAV SANTA ESFERA 6CAV","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/666661682432.jpg",""
"666661683196","MOLDE NAV SANTA REGALO","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/666661683196.jpg",""
"666661683195","MOLDE SIL REGALO 9CAV","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/666661683195.jpg",""
"666661681515","PALETA MAGNUM LILA 3CAV","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/666661681515.jpg",""
"666661683155","MOLDE NAVID ESTRELLA CAMPANA 15 CAV","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/666661683155.jpg",""
"666661683153","MOLDE NAVIDEÑO GELATINA","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/666661683153.jpg",""
"70896164179","MOLDE SILICON COPO DE NIEVE C/6 CAV","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/70896164179.jpg",""
"MSC121","MOLDE SIL COPO","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/MSC121.jpg",""
"MSC178","MOLDES DE SILICON DE COPOS DE NIEVE X 3 5CM","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/MSC178.jpg",""
"MSC221","MOLDE DE ESTRELLAS X 3","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/MSC221.jpg",""
"MSC1400","MOLDE SIL MOÑOS","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/MSC1400.jpg",""
"DTEM557","MOLDE DE SILICON MUÑECOS NAVIDEÑOS","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/DTEM557.jpg",""
"MLD006","MOLDE SILICON MEDIA ESFERA 6 CAV CHERRY","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/MLD006.jpg",""
"70896021441","MOLDE SILICON MINI CORAZÓN ROJO","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/70896021441.jpg",""
"70896165657","MOLDE SILICON CORAZON PEQUEÑO 12 CAV","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/70896165657.jpg",""
"700825041509","MOLDE ROSA PARA CORAZON CHOCOLATE 3D","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/700825041509.jpg",""
"70896615541","MOLDE SILICON BOMBILLA CON 24 CAVIDADES","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/70896615541.jpg",""
"666661680781","MOLDE SILI BARRA DE CHOC MINI TABLET","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/666661680781.jpg",""
"666661682623","MOLDE SILI BARRA DE CHOC MINI TABLET CPRAZON","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/666661682623.jpg",""
"MSC1188","HUEVOS DE PASCUA DUO CHERRY","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/MSC1188.jpg",""
"MSC1440","ZANAHORIAS X 2 CHERRY","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/MSC1440.jpg",""
"DTEM360","MOLDE SILICON HUEVO PASCUA 6 CAV MEDIANO","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/DTEM360.jpg",""
"666661682754","MOLDE SIL CORAZON","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/666661682754.jpg",""
"6953176668762","MOLDE SILICON VARIOS MC","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/6953176668762.jpg",""
"7504310890229","MOLDE SILICON MICKEY ROJO","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/7504310890229.jpg",""
"SIL001176","MOLDE SILI PALETA CRISTALES 4cav","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/SIL001176.jpg",""
"SIL001387","MOLDE SILI MANZANAS 10cav 17x14x1cm","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/SIL001387.jpg",""
"SIL001041","MOLDE SILI P/CHOCO ROSAS 15 CAV","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/SIL001041.jpg",""
"4-0474","MOLDE SILI RECTANGULAR 21.6x10x5.9cm","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/4-0474.jpg",""
"666661686303","MOLDE SILICON MARINOS","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/666661686303.jpg",""
"666661682626","MOLDE SILICON FLORES 12 CAV","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/666661682626.jpg",""
"666661686311","MOLDE SILICON NUMEROS CON MOÑO 10CAV","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/666661686311.jpg",""
"666661681517","MOLDE SILICON CONEJO LILA","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/666661681517.jpg",""
"666661682624","MOLDE SILICON ABC BOY","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/666661682624.jpg",""
"666661686314","MOLDE SILICON CRUCES","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/666661686314.jpg",""
"666661686309","MOLDE SILICON MINI DONAS","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/666661686309.jpg",""
"99259","MOLDE SIL DC JENGIBRE MINI","/Users/fcastrillo/src/work/cursor-config/00-personal-offtopic/hgourmet-platform/briefs/import-csv/product_images/99259.jpg",""
