clave1 *,clave2,descripción *,departamento,categoria,(s/n) inventariable,unidad,costo,precio1,(s/n) precio con impuestos,(s/n) imp IVA (8%),(s/n) imp IVA (16%),(s/n) granel,existencia,,
70896116451,70896116451,CAPACILLO STD MIX CORAZONES C/50pz,Capacillos,Papel,SI,Pieza,,, $75.00 ,,,,,,52151900
70896155429,70896155429,CAPACILLO STD ROSA CORAZONES CON 24pz,Capacillos,Papel,SI,Pieza,,, $75.00 ,,,,,,52151900
70896107527,70896107527,CAPACILLO STD ROSA DORADO CON 24pz,Capacillos,Papel,SI,Pieza,,, $75.00 ,,,,,,52151900
70896044839,70896044839,MINI CAPACILLO SANTA CLAUS CON 100pz,Capacillos,Papel,SI,Pieza,,, $70.00 ,,,,,,52151900
70896164476,70896164476,CAPACILLO CLASICO STD CON 75pz,Capacillos,Papel,SI,Pieza,,, $65.00 ,,,,,,52151900
190352301412,190352301412,CAPACILLO STD NAVIDAD CON 125pz,Capacillos,Papel,SI,Pieza,,, $85.00 ,,,,,,52151900
4-3107,7501553431073,CAPACILLO STD AMARILLO PASTEL 100pz,Capacillos,Papel,SI,Pieza,,, $54.00 ,,,,,,52151907
191010491,070896160959,CAPACILLO STD HALLOWEEN CON 150pz,Capacillos,Papel,SI,Pieza,,, $165.00 ,,,,,,52151900
CAP72CAFE,CAP72CAFE,CAPACILLO CAFE NUM 72 1000pz,Capacillos,Papel,SI,Paquete,,, $110.00 ,,,,,,14111525
4-2728,7501553427281,CAPACILLO MED ORO 500pz,Capacillos,Papel,SI,Paquete,,, $125.00 ,,,,,,52151907
HGCAP00281,HGCAP00281,CAPACILLO MED ORO 40pz,Capacillos,Papel,SI,Pieza,,, $55.00 ,,,,,,52151907
4-3111,7501553431110,CAPACILLO STD MENTA 100pz,Capacillos,Papel,SI,Pieza,,, $54.00 ,,,,,,52151907
4-3101,7501553431011,CAPACILLO STD NARANJA 100pz,Capacillos,Papel,SI,Pieza,,, $54.00 ,,,,,,52151907
4-3100,7501553431004,CAPACILLO STD AMARILLO 100pz,Capacillos,Papel,SI,Pieza,,, $54.00 ,,,,,,52151907
4-2741,7501553427410,CAPACILLO MED NEGRO 50pz,Capacillos,Papel,SI,Pieza,,, $62.00 ,,,,,,52151907
41500446,070896107565,CAPACILLO STD XOXO C/75pz,Capacillos,Papel,SI,Pieza,,, $67.00 ,,,,,,52151900
415-0-0615,070896155559,MINI CAPACILLOS CORAZONES C/100pz,Capacillos,Papel,SI,Pieza,,, $80.00 ,,,,,,52151900
41500186,070896059833,CAPACILLO STD TUBO SAN VALENTIN C/150pz,Capacillos,Papel,SI,Pieza,,, $186.00 ,,,,,,52151900
HGCAP0033,HGCAP0033,CAPACILLO WILTON SAN VALENTIN 50pz,Capacillos,Papel,SI,Pieza,,, $65.00 ,,,,,,52151900
HGCAP0023,HGCAP0023,MOLDE PAPEL TARTA 23X4CM,Moldes,Papel,SI,Pieza,,, $28.00 ,,,,,,52151900
X003CJLOVZ,X003CJLOVZ,MOLDE PAPEL AIR FRYER 10PZ,Moldes,Papel,SI,Pieza,,, $50.00 ,,,,,,52151900
HOAR02,HOAR02,HOJA DE ARROZ TAMAÑO CARTA GRUESA 1PZ,Insumos,Papel,SI,Pieza,,, $15.00 ,,,,,,50192300
415-1293,070896512932,KIT DEC ARBOL Y COPO 36 PIEZAS,Decoracion,Papel,SI,Pieza,,, $50.00 ,,,,,,60111410
HGACR0010,HGACR0010,MARIPOSAS PAPEL 5PZ,Decoracion,Papel,SI,Pieza,,, $60.00 ,,,,,,60111410
HGACR0039,HGACR0039,MARIPOSAS PAPEL 5PZ DELUX,Decoracion,Papel,SI,Pieza,,, $70.00 ,,,,,,60111410
HGDEC001,HGDEC001,TARJETAS VARIAS ,Decoracion,Papel,SI,Pieza,,, $22.00 ,,,,,,60111300
75022767169971,75022767169971,Caja 36 rollos papel para hornear 30x6mt,Desechables,Papel,SI,Pieza,,," $1,815.00 ",,,,,,50181709
7502276716997,7502276716997,Papel en rollo para hornear 30x6mt,Desechables,Papel,SI,Pieza,,, $60.00 ,,,,,,50181709
P_ESTRELLA,P_ESTRELLA,PAPEL ESTRELLA (45 GRS- 1000 HOJAS),Desechables,Papel,SI,Pieza,,," $5,627.00 ",,,,,,14121804
451353,451353,PAPEL ESTRELLA 5 PLIEGOS,Desechables,Papel,SI,Pieza,,, $30.00 ,,,,,,60121500
HGB00006,HGB00006,PAPEL BOLSA KRAFT # 2 PAQ 100 PZ,Bolsas,Papel,SI,Paquete,,, $40.00 ,,,,,,24111502
HGB00007,HGB00007,PAPEL BOLSA KRAFT # 3 PAQ 100PZ,Bolsas,Papel,SI,Paquete,,, $47.00 ,,,,,,24111502
HGB00008,HGB00008,PAPEL BOLSA KRAFT # 4 PAQ 100PZ,Bolsas,Papel,SI,Paquete,,, $53.00 ,,,,,,24111502
HGB00009,HGB00009,PAPEL BOLSA KRAFT # 5 PAQ 100PZ,Bolsas,Papel,SI,Paquete,,, $66.00 ,,,,,,24111502
HGB00010,HGB00010,PAPEL BOLSA KRAFT # 6 PAQ 100 PZ,Bolsas,Papel,SI,Paquete,,, $66.00 ,,,,,,24111502
7502223773134,7502223773134,WATER PAPER 15PZ,Insumos,Papel,SI,Pieza,,, $105.00 ,,,,,,50221100
7508715255499,7508715255499,PAPEL FLASH 50PZ,Insumos,Papel,SI,Pieza,,, $750.00 ,,,,,,50192300
7508715255498,7508715255498,PAPEL FLASH 1PZ,Insumos,Papel,SI,Pieza,,, $25.00 ,,,,,,50192300
